"all.data.peaks.deseq2_LamBKO.seqnames"	"all.data.peaks.deseq2_LamBKO.start"	"all.data.peaks.deseq2_LamBKO.end"	"all.data.peaks.deseq2_LamBKO.width"	"all.data.peaks.deseq2_LamBKO.strand"	"all.data.peaks.deseq2_LamBKO.Conc"	"all.data.peaks.deseq2_LamBKO.Conc_Group1"	"all.data.peaks.deseq2_LamBKO.Conc_Group2"	"all.data.peaks.deseq2_LamBKO.Fold"	"all.data.peaks.deseq2_LamBKO.p.value"	"all.data.peaks.deseq2_LamBKO.FDR"	"all.data.peaks.deseq2_LamBKO.peak"	"all.data.peaks.deseq2_LamBKO.feature"	"all.data.peaks.deseq2_LamBKO.start_position"	"all.data.peaks.deseq2_LamBKO.end_position"	"all.data.peaks.deseq2_LamBKO.feature_strand"	"all.data.peaks.deseq2_LamBKO.insideFeature"	"all.data.peaks.deseq2_LamBKO.distancetoFeature"	"all.data.peaks.deseq2_LamBKO.shortestDistance"	"all.data.peaks.deseq2_LamBKO.fromOverlappingOrNearest"	"all.data.peaks.deseq2_LamBKO.symbol"	"all.data.peaks.deseq2_LamBKO.genename"
"chr4"	481844	482044	201	"*"	4.27	4.37	4.2	0.17	0.751	0.89	"10239"	"FBgn0039908"	469409	488994	"-"	"inside"	7150	6950	"NearestLocation"	"Asator"	"asator"
"chr3R"	7920274	7920474	201	"*"	5.42	5.46	5.39	0.08	0.751	0.89	"7666"	"FBgn0037531"	7916599	7920299	"-"	"overlapStart"	25	25	"NearestLocation"	"CG10445"	"uncharacterized protein"
"chr2L"	18666046	18666246	201	"*"	4.57	4.64	4.53	0.11	0.752	0.89	"1873"	"FBgn0086200"	18665132	18667548	"+"	"inside"	914	914	"NearestLocation"	NA	NA
"chr3L"	11197598	11197798	201	"*"	6.38	6.34	6.41	-0.06	0.752	0.89	"5971"	"FBgn0036144"	11176954	11197536	"-"	"upstream"	-62	62	"NearestLocation"	"GlcAT-P"	"Glucuronyltransferase P"
"chr3L"	12433876	12434076	201	"*"	4.49	4.54	4.45	0.09	0.752	0.89	"6117"	"FBgn0036285"	12422510	12432668	"-"	"upstream"	-1208	1208	"NearestLocation"	"toe"	"twin of eyg"
"chrX"	8038424	8038624	201	"*"	3.54	3.48	3.57	-0.1	0.752	0.89	"11116"	"FBgn0029990"	8035741	8037517	"-"	"upstream"	-907	907	"NearestLocation"	"CG2233"	"uncharacterized protein"
"chrX"	12801520	12801720	201	"*"	5.6	5.66	5.56	0.1	0.752	0.891	"11643"	"FBgn0030425"	12801661	12804232	"+"	"overlapStart"	-141	59	"NearestLocation"	"Nep6"	"Neprilysin 6"
"chr3R"	22593677	22593877	201	"*"	4.66	4.71	4.62	0.09	0.752	0.891	"9245"	"FBgn0051158"	22587755	22608842	"+"	"inside"	5922	5922	"NearestLocation"	"Efa6"	"Exchange factor for Arf 6"
"chr3L"	1519057	1519257	201	"*"	4.62	4.68	4.58	0.09	0.752	0.891	"4874"	"FBgn0011204"	1503226	1517271	"-"	"upstream"	-1786	1786	"NearestLocation"	"cue"	"cueball"
"chr2R"	8601495	8601695	201	"*"	5.58	5.62	5.55	0.06	0.752	0.891	"2642"	"FBgn0267792"	8600415	8612295	"+"	"inside"	1080	1080	"NearestLocation"	"rgr"	"regular"
"chr2R"	24893325	24893525	201	"*"	3.9	3.97	3.86	0.1	0.753	0.891	"4627"	"FBgn0085434"	24891614	24921677	"+"	"inside"	1711	1711	"NearestLocation"	"NaCP60E"	"Na channel protein 60E"
"chr3R"	30741662	30741862	201	"*"	4.69	4.65	4.72	-0.08	0.753	0.891	"10076"	"FBgn0039799"	30742880	30744474	"+"	"upstream"	-1218	1018	"NearestLocation"	"CG15543"	"uncharacterized protein"
"chr3L"	11681882	11682082	201	"*"	5.11	5.18	5.07	0.1	0.753	0.891	"6044"	"FBgn0015828"	11682038	11683805	"+"	"overlapStart"	-156	44	"NearestLocation"	"TfIIEalpha"	"Transcription factor IIEalpha"
"chr3R"	30004641	30004841	201	"*"	5.23	5.28	5.2	0.08	0.753	0.891	"9976"	"FBgn0016685"	30004785	30010352	"+"	"overlapStart"	-144	56	"NearestLocation"	"Nlp"	"Nucleoplasmin"
"chr3L"	14672728	14672928	201	"*"	5.94	6.01	5.89	0.13	0.753	0.891	"6310"	"FBgn0259175"	14672839	14747868	"+"	"overlapStart"	-111	89	"NearestLocation"	"ome"	"omega"
"chrX"	6968644	6968844	201	"*"	5.1	5.05	5.13	-0.08	0.754	0.892	"11034"	"FBgn0052732"	6958032	6968750	"-"	"overlapStart"	106	94	"NearestLocation"	"Setd3"	"SET domain containing 3"
"chr2R"	4620228	4620428	201	"*"	3.7	3.79	3.65	0.14	0.754	0.892	"2248"	"FBgn0032997"	4619030	4620833	"+"	"inside"	1198	405	"NearestLocation"	"CG17486"	"uncharacterized protein"
"chr2L"	21678380	21678580	201	"*"	4.13	4.08	4.16	-0.08	0.754	0.892	"2174"	"FBgn0032957"	21663806	21677530	"-"	"upstream"	-850	850	"NearestLocation"	"CG2225"	"uncharacterized protein"
"chr3L"	18866029	18866229	201	"*"	4.92	4.99	4.88	0.11	0.754	0.892	"6796"	"FBgn0036818"	18866225	18867431	"+"	"overlapStart"	-196	4	"NearestLocation"	"CG14074"	"uncharacterized protein"
"chr3L"	886353	886553	201	"*"	4.98	5.01	4.96	0.05	0.754	0.892	"4800"	"FBgn0263476"	890270	890490	"+"	"upstream"	-3917	3717	"NearestLocation"	NA	NA
"chr3R"	12424114	12424314	201	"*"	4.56	4.63	4.52	0.1	0.754	0.892	"8179"	"FBgn0038043"	12422768	12423606	"+"	"downstream"	1346	508	"NearestLocation"	"CG17202"	"uncharacterized protein"
"chr3L"	2568230	2568430	201	"*"	3.97	4.04	3.92	0.12	0.755	0.892	"5002"	"FBgn0010905"	2505245	2554292	"-"	"upstream"	-13938	13938	"NearestLocation"	"Spn"	"Spinophilin"
"chrX"	11555103	11555303	201	"*"	4.97	5.03	4.93	0.1	0.755	0.892	"11519"	"FBgn0030309"	11555050	11558654	"-"	"inside"	3551	53	"NearestLocation"	"CG1572"	"uncharacterized protein"
"chr2R"	8177244	8177444	201	"*"	5.01	5.07	4.97	0.1	0.755	0.892	"2620"	"FBgn0053087"	8174165	8226438	"+"	"inside"	3079	3079	"NearestLocation"	"LRP1"	"LDL receptor protein 1"
"chr2R"	18710910	18711110	201	"*"	3.65	3.74	3.6	0.15	0.755	0.892	"3924"	"FBgn0034380"	18708152	18710865	"-"	"upstream"	-45	45	"NearestLocation"	"Vps51"	"Vacuolar protein sorting 51"
"chr2L"	19185962	19186162	201	"*"	4.66	4.71	4.63	0.08	0.755	0.892	"1942"	"FBgn0010309"	19186043	19189938	"+"	"overlapStart"	-81	81	"NearestLocation"	"pigeon"	"pigeon"
"chr2L"	7494712	7494912	201	"*"	3.33	3.42	3.28	0.14	0.755	0.892	"805"	"FBgn0260486"	7472513	7496307	"-"	"inside"	1595	1395	"NearestLocation"	"Ziz"	"Zizimin"
"chr2L"	1504357	1504557	201	"*"	4.74	4.79	4.71	0.08	0.755	0.893	"162"	"FBgn0031344"	1500784	1502904	"-"	"upstream"	-1453	1453	"NearestLocation"	"CG7420"	"uncharacterized protein"
"chr3L"	7844072	7844272	201	"*"	3.35	3.45	3.29	0.16	0.755	0.893	"5510"	"FBgn0016694"	7811458	7867369	"-"	"inside"	23297	23097	"NearestLocation"	"Pdp1"	"PAR-domain protein 1"
"chr3R"	7993757	7993957	201	"*"	4.65	4.55	4.71	-0.16	0.755	0.893	"7679"	"FBgn0037534"	7981817	7995852	"-"	"inside"	2095	1895	"NearestLocation"	"ELOVL"	"ELOVL fatty acid elongase"
"chr3R"	18985171	18985371	201	"*"	5.44	5.49	5.41	0.09	0.755	0.893	"8859"	"FBgn0026239"	18984025	19022436	"+"	"inside"	1146	1146	"NearestLocation"	"gukh"	"GUK-holder"
"chr2R"	13536931	13537131	201	"*"	5.16	5.11	5.19	-0.07	0.756	0.893	"3280"	"FBgn0011896"	13536045	13536117	"-"	"upstream"	-814	814	"NearestLocation"	NA	NA
"chr3L"	15580611	15580811	201	"*"	4.81	4.88	4.78	0.1	0.756	0.893	"6391"	"FBgn0036514"	15580800	15583373	"+"	"overlapStart"	-189	11	"NearestLocation"	"CG12301"	"uncharacterized protein"
"chr2L"	12375988	12376188	201	"*"	4.25	4.2	4.29	-0.08	0.756	0.893	"1365"	"FBgn0032424"	12356441	12357906	"+"	"downstream"	19547	18082	"NearestLocation"	"CG17010"	"uncharacterized protein"
"chr3R"	10161252	10161452	201	"*"	5.2	5.14	5.23	-0.09	0.756	0.893	"7948"	"FBgn0037794"	10159144	10161331	"-"	"overlapStart"	79	79	"NearestLocation"	"CG6254"	"uncharacterized protein"
"chrX"	17499223	17499423	201	"*"	4.03	4.14	3.96	0.18	0.756	0.893	"12151"	"FBgn0265903"	17496669	17497388	"+"	"downstream"	2554	1835	"NearestLocation"	NA	NA
"chr2L"	5000322	5000522	201	"*"	6.72	6.76	6.7	0.06	0.756	0.893	"528"	"FBgn0053113"	4992808	5009720	"-"	"inside"	9398	7514	"NearestLocation"	"Rtnl1"	"Reticulon-like1"
"chrX"	19503761	19503961	201	"*"	5.75	5.79	5.72	0.08	0.756	0.893	"12371"	"FBgn0265428"	19495284	19495896	"-"	"upstream"	-7865	7865	"NearestLocation"	NA	NA
"chr2L"	12410766	12410966	201	"*"	3.6	3.51	3.65	-0.14	0.756	0.893	"1370"	"FBgn0043841"	12403270	12423439	"-"	"inside"	12673	7496	"NearestLocation"	"vir-1"	"virus-induced RNA 1"
"chr3L"	7131701	7131901	201	"*"	7.24	7.28	7.22	0.06	0.756	0.893	"5432"	"FBgn0010387"	7131863	7133463	"+"	"overlapStart"	-162	38	"NearestLocation"	"Acbp2"	"Acyl-CoA binding protein 2"
"chr2L"	6709122	6709322	201	"*"	4.27	4.34	4.22	0.11	0.756	0.893	"702"	"FBgn0031850"	6686791	6709086	"-"	"upstream"	-36	36	"NearestLocation"	"Tsp"	"Thrombospondin"
"chr3L"	21635299	21635499	201	"*"	4.49	4.57	4.44	0.13	0.756	0.893	"7123"	"FBgn0037110"	21635305	21636251	"+"	"overlapStart"	-6	6	"NearestLocation"	"ORMDL"	"Orosomucoid 1-like"
"chr3L"	8304002	8304202	201	"*"	4.61	4.56	4.64	-0.09	0.757	0.893	"5574"	"FBgn0087039"	8304157	8305325	"+"	"overlapStart"	-155	45	"NearestLocation"	"Sbp2"	"SECIS-binding protein 2"
"chr3R"	9363107	9363307	201	"*"	3.71	3.78	3.67	0.11	0.757	0.893	"7822"	"FBgn0037683"	9363305	9364838	"+"	"overlapStart"	-198	2	"NearestLocation"	"CG18473"	"uncharacterized protein"
"chr3L"	12184663	12184863	201	"*"	6.93	7	6.89	0.11	0.757	0.893	"6091"	"FBgn0036262"	12184984	12187860	"+"	"upstream"	-321	121	"NearestLocation"	"CG6910"	"uncharacterized protein"
"chrX"	15068630	15068830	201	"*"	5.88	5.94	5.84	0.09	0.757	0.893	"11869"	"FBgn0030607"	15067007	15069091	"+"	"inside"	1623	261	"NearestLocation"	"dob"	"doppelganger von brummer"
"chr3L"	16780455	16780655	201	"*"	5.85	5.81	5.88	-0.07	0.757	0.893	"6545"	"FBgn0036661"	16780100	16782419	"+"	"inside"	355	355	"NearestLocation"	"CG9705"	"uncharacterized protein"
"chr3L"	1002843	1003043	201	"*"	5.24	5.19	5.27	-0.08	0.757	0.893	"4807"	"FBgn0267461"	1001027	1002195	"+"	"downstream"	1816	648	"NearestLocation"	NA	NA
"chr3R"	26259942	26260142	201	"*"	5.6	5.65	5.56	0.09	0.757	0.893	"9665"	"FBgn0265380"	26260902	26261515	"+"	"upstream"	-960	760	"NearestLocation"	NA	NA
"chr2R"	24159247	24159447	201	"*"	5.64	5.69	5.6	0.09	0.757	0.893	"4535"	"FBgn0015544"	24159384	24161503	"+"	"overlapStart"	-137	63	"NearestLocation"	"spag"	"spaghetti"
"chrX"	2652032	2652232	201	"*"	4.07	4.14	4.03	0.11	0.757	0.893	"10620"	"FBgn0003371"	2633952	2679553	"+"	"inside"	18080	18080	"NearestLocation"	"sgg"	"shaggy"
"chr3L"	16741756	16741956	201	"*"	4	4.07	3.96	0.11	0.757	0.893	"6542"	"FBgn0036659"	16733546	16739364	"+"	"downstream"	8210	2392	"NearestLocation"	"CG9701"	"uncharacterized protein"
"chrX"	9788118	9788318	201	"*"	5.84	5.9	5.8	0.1	0.757	0.893	"11331"	"FBgn0052698"	9783223	9855449	"+"	"inside"	4895	4895	"NearestLocation"	"CARPB"	"Carbonic anhydrase-related protein B"
"chr3R"	26247838	26248038	201	"*"	6.48	6.52	6.46	0.06	0.757	0.893	"9660"	"FBgn0267731"	26241291	26241802	"+"	"downstream"	6547	6036	"NearestLocation"	NA	NA
"chr4"	1064694	1064894	201	"*"	6.58	6.63	6.55	0.09	0.757	0.893	"10286"	"FBgn0011642"	1057365	1065001	"-"	"inside"	307	107	"NearestLocation"	"Zyx"	"Zyxin"
"chr2L"	9167947	9168147	201	"*"	4.23	4.18	4.25	-0.07	0.757	0.893	"1019"	"FBgn0041092"	9166778	9250211	"+"	"inside"	1169	1169	"NearestLocation"	"tai"	"taiman"
"chr3R"	17647527	17647727	201	"*"	5.17	5.22	5.13	0.09	0.758	0.893	"8728"	"FBgn0038532"	17647679	17669985	"+"	"overlapStart"	-152	48	"NearestLocation"	"CG14322"	"uncharacterized protein"
"chr2L"	9335434	9335634	201	"*"	4.64	4.59	4.66	-0.07	0.758	0.893	"1038"	"FBgn0026439"	9333567	9341925	"+"	"inside"	1867	1867	"NearestLocation"	"Eaat1"	"Excitatory amino acid transporter 1"
"chr3R"	14335592	14335792	201	"*"	3.9	3.85	3.93	-0.08	0.758	0.893	"8371"	"FBgn0003480"	14328051	14329608	"+"	"downstream"	7541	5984	"NearestLocation"	"spn-B"	"spindle B"
"chr2L"	1031040	1031240	201	"*"	4.28	4.37	4.23	0.14	0.758	0.893	"113"	"FBgn0031295"	1026105	1026897	"-"	"upstream"	-4143	4143	"NearestLocation"	"CG4375"	"uncharacterized protein"
"chrX"	843718	843918	201	"*"	3.69	3.62	3.73	-0.1	0.758	0.893	"10373"	"FBgn0029535"	844823	845297	"+"	"upstream"	-1105	905	"NearestLocation"	"CG14635"	"uncharacterized protein"
"chr2L"	4458485	4458685	201	"*"	4.06	4	4.1	-0.09	0.758	0.894	"476"	"FBgn0285948"	4457186	4458364	"-"	"upstream"	-121	121	"NearestLocation"	"RpL27A"	"Ribosomal protein L27A"
"chr3R"	24567655	24567855	201	"*"	5.68	5.75	5.64	0.1	0.759	0.894	"9482"	"FBgn0267763"	24573770	24574304	"+"	"upstream"	-6115	5915	"NearestLocation"	NA	NA
"chrX"	6967122	6967322	201	"*"	3.75	3.81	3.71	0.1	0.759	0.894	"11033"	"FBgn0052732"	6958032	6968750	"-"	"inside"	1628	1428	"NearestLocation"	"Setd3"	"SET domain containing 3"
"chr3L"	5179202	5179402	201	"*"	4.8	4.73	4.84	-0.1	0.759	0.894	"5282"	"FBgn0010747"	5152678	5154777	"+"	"downstream"	26524	24425	"NearestLocation"	"Srp54k"	"Signal recognition particle 54k"
"chr3L"	779217	779417	201	"*"	5.11	5.16	5.08	0.08	0.759	0.894	"4783"	"FBgn0052481"	770363	770462	"+"	"downstream"	8854	8755	"NearestLocation"	NA	NA
"chr3R"	24283335	24283535	201	"*"	3.47	3.4	3.51	-0.12	0.759	0.894	"9458"	"FBgn0267222"	24282911	24283368	"-"	"overlapStart"	33	33	"NearestLocation"	NA	NA
"chr3L"	212604	212804	201	"*"	5.86	5.81	5.88	-0.07	0.759	0.894	"4697"	"FBgn0035110"	211636	212687	"-"	"overlapStart"	83	83	"NearestLocation"	"thoc7"	"thoc7"
"chr3L"	1755956	1756156	201	"*"	3.45	3.4	3.48	-0.07	0.759	0.894	"4915"	"FBgn0035268"	1756159	1759208	"+"	"upstream"	-203	3	"NearestLocation"	"CG8001"	"uncharacterized protein"
"chrX"	13611987	13612187	201	"*"	4.88	4.94	4.84	0.11	0.759	0.894	"11735"	"FBgn0030501"	13612131	13613228	"+"	"overlapStart"	-144	56	"NearestLocation"	NA	NA
"chr3R"	12982163	12982363	201	"*"	6.23	6.19	6.25	-0.06	0.759	0.894	"8232"	"FBgn0038100"	12980792	12985488	"+"	"inside"	1371	1371	"NearestLocation"	"Paip2"	"polyA-binding protein interacting protein 2"
"chrX"	3866355	3866555	201	"*"	4.36	4.4	4.34	0.05	0.759	0.894	"10740"	"FBgn0028491"	3868973	3880379	"+"	"upstream"	-2618	2418	"NearestLocation"	"CG2930"	"uncharacterized protein"
"chrX"	3161196	3161396	201	"*"	4.51	4.59	4.45	0.14	0.759	0.894	"10653"	"FBgn0028746"	3172268	3173140	"-"	"downstream"	11944	10872	"NearestLocation"	"CG18508"	"uncharacterized protein"
"chrX"	898314	898514	201	"*"	4.32	4.38	4.28	0.1	0.759	0.894	"10375"	"FBgn0029539"	894482	895200	"+"	"downstream"	3832	3114	"NearestLocation"	"CG11663"	"uncharacterized protein"
"chr3L"	2433793	2433993	201	"*"	3.43	3.51	3.38	0.13	0.759	0.894	"4985"	"FBgn0035343"	2474667	2475614	"-"	"downstream"	41821	40674	"NearestLocation"	"CG16762"	"uncharacterized protein"
"chrX"	3370658	3370858	201	"*"	5.78	5.74	5.8	-0.05	0.76	0.894	"10676"	"FBgn0262656"	3373159	3391697	"+"	"upstream"	-2501	2301	"NearestLocation"	"Myc"	"Myc"
"chrX"	3370658	3370858	201	"*"	5.78	5.74	5.8	-0.05	0.76	0.894	"10676"	"FBgn0266350"	3373159	3522787	"+"	"upstream"	-2501	2301	"NearestLocation"	NA	NA
"chr3R"	18188798	18188998	201	"*"	3.55	3.66	3.48	0.18	0.76	0.894	"8773"	"FBgn0038578"	18189072	18191265	"+"	"upstream"	-274	74	"NearestLocation"	"MED17"	"Mediator complex subunit 17"
"chr2R"	14114600	14114800	201	"*"	3.02	3.07	2.99	0.08	0.76	0.894	"3354"	"FBgn0259184"	14091031	14091814	"+"	"downstream"	23569	22786	"NearestLocation"	"CG42288"	"uncharacterized protein"
"chr2L"	13804548	13804748	201	"*"	5.27	5.22	5.29	-0.08	0.76	0.894	"1516"	"FBgn0027844"	13803626	13809994	"+"	"inside"	922	922	"NearestLocation"	"CAH1"	"Carbonic anhydrase 1"
"chr3R"	6421865	6422065	201	"*"	5.13	5.08	5.16	-0.08	0.76	0.894	"7548"	"FBgn0264787"	6408978	6409578	"-"	"upstream"	-12287	12287	"NearestLocation"	NA	NA
"chr3L"	15900663	15900863	201	"*"	4.46	4.53	4.42	0.1	0.76	0.894	"6417"	"FBgn0264908"	15848578	15899029	"-"	"upstream"	-1634	1634	"NearestLocation"	"pHCl-1"	"pH-sensitive chloride channel 1"
"chr2L"	168555	168755	201	"*"	5.33	5.28	5.36	-0.08	0.76	0.894	"25"	"FBgn0016977"	159032	203397	"+"	"inside"	9523	9523	"NearestLocation"	"spen"	"split ends"
"chrX"	17455952	17456152	201	"*"	4.21	4.16	4.24	-0.08	0.76	0.894	"12139"	"FBgn0030841"	17448990	17452543	"-"	"upstream"	-3409	3409	"NearestLocation"	"CG8568"	"uncharacterized protein"
"chr2R"	16202809	16203009	201	"*"	5.31	5.38	5.27	0.11	0.76	0.894	"3622"	"FBgn0015295"	16199426	16202884	"-"	"overlapStart"	75	75	"NearestLocation"	"Shark"	"SH2 ankyrin repeat kinase"
"chr2R"	12686087	12686287	201	"*"	3.93	4.02	3.88	0.14	0.76	0.894	"3181"	"FBgn0033767"	12686249	12688786	"+"	"overlapStart"	-162	38	"NearestLocation"	"CG13148"	"uncharacterized protein"
"chr3L"	13877029	13877229	201	"*"	4.77	4.84	4.73	0.11	0.76	0.894	"6233"	"FBgn0036382"	13878994	13883056	"+"	"upstream"	-1965	1765	"NearestLocation"	"CG13737"	"uncharacterized protein"
"chr3R"	21172827	21173027	201	"*"	6.16	6.2	6.14	0.06	0.76	0.894	"9086"	"FBgn0260004"	21165167	21168205	"-"	"upstream"	-4622	4622	"NearestLocation"	"Snmp1"	"Sensory neuron membrane protein 1"
"chrX"	15335003	15335203	201	"*"	5.46	5.51	5.42	0.1	0.76	0.894	"11893"	"FBgn0266349"	15334478	15335971	"-"	"inside"	968	525	"NearestLocation"	NA	NA
"chrX"	6276670	6276870	201	"*"	5.91	5.95	5.88	0.07	0.761	0.894	"10939"	"FBgn0029854"	6274972	6276724	"-"	"overlapStart"	54	54	"NearestLocation"	"CG3566"	"uncharacterized protein"
"chr2L"	865767	865967	201	"*"	6.05	6.09	6.03	0.06	0.761	0.894	"103"	"FBgn0086031"	865366	865493	"-"	"upstream"	-274	274	"NearestLocation"	NA	NA
"chr3R"	7471906	7472106	201	"*"	5.65	5.71	5.62	0.09	0.761	0.894	"7628"	"FBgn0012000"	7472060	7472132	"-"	"overlapEnd"	226	26	"NearestLocation"	NA	NA
"chr2R"	24693227	24693427	201	"*"	4.15	4.2	4.11	0.09	0.761	0.894	"4603"	"FBgn0035050"	24691422	24694386	"-"	"inside"	1159	959	"NearestLocation"	"SiaT"	"Sialyltransferase"
"chr2R"	14161203	14161403	201	"*"	3.1	3.22	3.02	0.2	0.761	0.894	"3360"	"FBgn0033900"	14159096	14161262	"-"	"overlapStart"	59	59	"NearestLocation"	"CysRS-m"	"Cysteinyl-tRNA synthetase, mitochondrial"
"chr4"	1257081	1257281	201	"*"	2.07	2.12	2.04	0.08	0.761	0.894	"10303"	"FBgn0053653"	1230837	1271759	"+"	"inside"	26244	14478	"NearestLocation"	NA	NA
"chr3R"	4294767	4294967	201	"*"	5.45	5.51	5.42	0.09	0.761	0.894	"7299"	"FBgn0037230"	4292274	4294840	"-"	"overlapStart"	73	73	"NearestLocation"	"Nepl11"	"Neprilysin-like 11"
"chr2L"	15178420	15178620	201	"*"	4.98	4.94	5	-0.06	0.761	0.894	"1633"	"FBgn0265995"	15160651	15161083	"+"	"downstream"	17769	17337	"NearestLocation"	NA	NA
"chr2R"	13403726	13403926	201	"*"	5.94	5.98	5.91	0.07	0.761	0.894	"3256"	"FBgn0283462"	13407011	13408358	"+"	"upstream"	-3285	3085	"NearestLocation"	"CG33470;IMPPP"	"uncharacterized protein;Immune induced molecule prepropeptide"
"chr3L"	10355928	10356128	201	"*"	4.25	4.2	4.28	-0.08	0.762	0.894	"5860"	"FBgn0266076"	10365228	10365325	"+"	"upstream"	-9300	9100	"NearestLocation"	NA	NA
"chrX"	5678658	5678858	201	"*"	4.2	4.28	4.15	0.13	0.762	0.894	"10859"	"FBgn0046687"	5673830	5679977	"-"	"inside"	1319	1119	"NearestLocation"	"Tre1"	"Trapped in endoderm 1"
"chr2L"	7065782	7065982	201	"*"	5.15	5.21	5.11	0.1	0.762	0.894	"753"	"FBgn0031886"	7064431	7065837	"-"	"overlapStart"	55	55	"NearestLocation"	"Nuf2"	"Nuf2"
"chr3R"	24717422	24717622	201	"*"	4.88	4.96	4.84	0.12	0.762	0.894	"9503"	"FBgn0039218"	24717511	24717998	"+"	"overlapStart"	-89	89	"NearestLocation"	"Rpb10"	"Rpb10"
"chr2R"	19699740	19699940	201	"*"	4.49	4.55	4.46	0.09	0.762	0.894	"4046"	"FBgn0046880"	19698714	19699346	"-"	"upstream"	-394	394	"NearestLocation"	"Obp56b"	"Odorant-binding protein 56b"
"chr3R"	17536687	17536887	201	"*"	5.1	5.07	5.12	-0.05	0.762	0.894	"8716"	"FBgn0038516"	17534815	17537136	"+"	"inside"	1872	249	"NearestLocation"	"P5cr-2"	"Pyrroline-5-carboxylate reductase-like 2"
"chr2R"	11885572	11885772	201	"*"	6.37	6.41	6.34	0.07	0.762	0.894	"3079"	"FBgn0033661"	11867876	11885585	"-"	"overlapStart"	13	13	"NearestLocation"	"CG13185"	"uncharacterized protein"
"chr3L"	6606006	6606206	201	"*"	6.8	6.76	6.82	-0.06	0.762	0.894	"5386"	"FBgn0024177"	6604366	6606032	"-"	"overlapStart"	26	26	"NearestLocation"	"zpg"	"zero population growth"
"chr4"	670996	671196	201	"*"	5.45	5.51	5.41	0.1	0.762	0.894	"10258"	"FBgn0039920"	671142	690650	"+"	"overlapStart"	-146	54	"NearestLocation"	"CG11360"	"uncharacterized protein"
"chr2L"	19871618	19871818	201	"*"	3.46	3.53	3.41	0.12	0.762	0.894	"2006"	"FBgn0032827"	19890201	19892550	"-"	"downstream"	20932	18383	"NearestLocation"	"CG10481"	"uncharacterized protein"
"chr3R"	12433972	12434172	201	"*"	4.79	4.74	4.82	-0.08	0.763	0.895	"8183"	"FBgn0038049"	12434098	12435643	"+"	"overlapStart"	-126	74	"NearestLocation"	"Srlp"	"Spliceosome-ribosome linker protein"
"chr2L"	6677519	6677719	201	"*"	4.3	4.23	4.35	-0.12	0.763	0.895	"700"	"FBgn0031848"	6676649	6677625	"-"	"overlapStart"	106	94	"NearestLocation"	"Nse1"	"Non-SMC element 1"
"chr3R"	15357165	15357365	201	"*"	6.65	6.62	6.67	-0.05	0.763	0.895	"8507"	"FBgn0038326"	15357229	15359263	"+"	"overlapStart"	-64	64	"NearestLocation"	"CG5044"	"uncharacterized protein"
"chr3R"	23061326	23061526	201	"*"	4.83	4.9	4.78	0.12	0.763	0.895	"9293"	"FBgn0027526"	23061493	23062751	"+"	"overlapStart"	-167	33	"NearestLocation"	"Ublcp1"	"Ubiquitin-like domain-containing C-terminal domain phosphatase 1"
"chr3R"	11821983	11822183	201	"*"	6.03	6.07	6	0.07	0.764	0.895	"8115"	"FBgn0037955"	11820381	11822493	"-"	"inside"	510	310	"NearestLocation"	"Kyat"	"Kynurenine aminotransferase"
"chr3L"	10677507	10677707	201	"*"	5.47	5.42	5.49	-0.07	0.764	0.895	"5895"	"FBgn0010762"	10664739	10690734	"+"	"inside"	12768	12768	"NearestLocation"	"simj"	"simjang"
"chrX"	18369743	18369943	201	"*"	6.58	6.62	6.56	0.06	0.764	0.895	"12257"	"FBgn0263769"	18369811	18370118	"-"	"overlapEnd"	375	68	"NearestLocation"	NA	NA
"chr2L"	9122480	9122680	201	"*"	4.64	4.71	4.6	0.1	0.764	0.895	"1010"	"FBgn0265827"	9121571	9121923	"-"	"upstream"	-557	557	"NearestLocation"	NA	NA
"chrX"	13800456	13800656	201	"*"	3.96	3.89	4	-0.11	0.764	0.895	"11770"	"FBgn0030525"	13796389	13797638	"-"	"upstream"	-2818	2818	"NearestLocation"	"CG10996"	"uncharacterized protein"
"chr3L"	14804988	14805188	201	"*"	4.76	4.78	4.74	0.04	0.764	0.895	"6326"	"FBgn0036454"	14805136	14882224	"+"	"overlapStart"	-148	52	"NearestLocation"	"CG17839"	"uncharacterized protein"
"chr3L"	8411680	8411880	201	"*"	4.43	4.5	4.38	0.12	0.764	0.895	"5587"	"FBgn0266667"	8411851	8415910	"+"	"overlapStart"	-171	29	"NearestLocation"	"Exo70"	"Exocyst 70"
"chr2R"	18290170	18290370	201	"*"	6.37	6.34	6.39	-0.06	0.764	0.895	"3846"	"FBgn0034321"	18288696	18294712	"+"	"inside"	1474	1474	"NearestLocation"	"CG14502"	"uncharacterized protein"
"chr2L"	10746181	10746381	201	"*"	4.55	4.6	4.51	0.08	0.764	0.895	"1239"	"FBgn0032296"	10740782	10743935	"-"	"upstream"	-2246	2246	"NearestLocation"	"CG6729"	"uncharacterized protein"
"chrX"	1169563	1169763	201	"*"	4.69	4.76	4.64	0.11	0.764	0.895	"10402"	"FBgn0040364"	1170828	1173797	"+"	"upstream"	-1265	1065	"NearestLocation"	"CG11378"	"uncharacterized protein"
"chr3L"	13862569	13862769	201	"*"	6.49	6.53	6.46	0.07	0.764	0.895	"6231"	"FBgn0036381"	13860027	13866905	"-"	"inside"	4336	2542	"NearestLocation"	"CG8745"	"uncharacterized protein"
